cb2ab6b5-6333-11e6-be4e-a45e60eb67c5,"{'charlie-chaplin','circus'}"
cb30ef73-6333-11e6-a8f9-a45e60eb67c5,"{'hollywood','russian-revolution','bolshevik'}"
cb336721-6333-11e6-ad0c-a45e60eb67c5,"{'musical'}"
cb1db042-6333-11e6-ace4-a45e60eb67c5,"{'operation','flower-shop','eye-operation'}"
cb1ccd11-6333-11e6-8fbf-a45e60eb67c5,"{'national-film-registry','transylvania','dracula'}"
cb2628a8-6333-11e6-8c4d-a45e60eb67c5,"{'mummy','reincarnation','buried-alive'}"
cb2d60fa-6333-11e6-93e7-a45e60eb67c5,"{'new-york-society'}"
cb1ebea6-6333-11e6-bd01-a45e60eb67c5,"{'switzerland','spy','hotel'}"
cb2a9082-6333-11e6-8509-a45e60eb67c5,"{'swiss','gypsy','orphan'}"
cb22591c-6333-11e6-a391-a45e60eb67c5,"{'richard-the-lionheart','sword','repayment'}"
cb1dcb40-6333-11e6-97eb-a45e60eb67c5,"{'arizona','fugitive','doctor'}"
cb29fe9c-6333-11e6-be6d-a45e60eb67c5,"{'orphanage','child'}"
cb1d5c97-6333-11e6-9d97-a45e60eb67c5,"{'secret-identity','witch','adolescence'}"
cb2e6a4a-6333-11e6-8976-a45e60eb67c5,"{'giant','musical'}"
cb1d7f11-6333-11e6-8aa4-a45e60eb67c5,"{'life-and-death','southern-u.s.','civil-war'}"
cb30c34c-6333-11e6-963f-a45e60eb67c5,"{'great-depression','drifter'}"
cb1d7b35-6333-11e6-8914-a45e60eb67c5,"{'dinosaurier','mouse','dancing'}"
cb22cf1e-6333-11e6-b65b-a45e60eb67c5,"{'circus','dream','mother'}"
cb1ee161-6333-11e6-9e93-a45e60eb67c5,"{'comeback','dancer','song'}"
cb1eea82-6333-11e6-88d8-a45e60eb67c5,"{'wald','loss-of-mother','roe'}"
cb1d05f3-6333-11e6-a471-a45e60eb67c5,"{'spy','love-triangle','corruption'}"
cb28cae8-6333-11e6-82ef-a45e60eb67c5,"{'billy-the-kid','doc-holliday','sheriff'}"
cb2ea23a-6333-11e6-82b5-a45e60eb67c5,"{'jewish','embezzlement','suitor'}"
cb27a805-6333-11e6-8618-a45e60eb67c5,"{'philippines'}"
cb1da028-6333-11e6-a420-a45e60eb67c5,"{'infidelity','passion','housewife'}"
cb237f17-6333-11e6-b9c6-a45e60eb67c5,"{'mutter-tochter-beziehung','holiday','santa-claus'}"
cb27f38f-6333-11e6-9106-a45e60eb67c5,"{'publisher','magazine','clock'}"
cb1edde6-6333-11e6-ae46-a45e60eb67c5,"{'frankenstein','dracula','horror-spoof'}"
cb22ac4f-6333-11e6-ad02-a45e60eb67c5,"{'loss-of-parents','ball','mouse'}"
cb279dd1-6333-11e6-bcc1-a45e60eb67c5,"{'scream','jazz-club','doctor'}"
cb1d73fa-6333-11e6-bb04-a45e60eb67c5,"{'star','engagement','fan'}"
cb1d9ae3-6333-11e6-950c-a45e60eb67c5,"{'mental-disease','tennis','perfect-crime'}"
cb239cca-6333-11e6-a00e-a45e60eb67c5,"{'nothing','heart','queen'}"
cb267223-6333-11e6-8f20-a45e60eb67c5,"{'space-travel','rocket'}"
cb1d947a-6333-11e6-8c47-a45e60eb67c5,"{'extraterrestrial-technology','spacecraft','u.s.-president'}"
