be5bdb90-5839-11e6-a324-8531257b399d,cb2e60a3-6333-11e6-9a7a-a45e60eb67c5,,"","The Freshman",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb269a0c-6333-11e6-9e5e-a45e60eb67c5,,"","The Kid Brother",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb2ab6b5-6333-11e6-be4e-a45e60eb67c5,,"{'charlie-chaplin','circus'}","The Circus",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb30ef73-6333-11e6-a8f9-a45e60eb67c5,,"{'hollywood','russian-revolution','bolshevik'}","The Last Command",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb336721-6333-11e6-ad0c-a45e60eb67c5,,"{'musical'}","The Broadway Melody",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb1db042-6333-11e6-ace4-a45e60eb67c5,,"{'operation','flower-shop','eye-operation'}","City Lights",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb1ccd11-6333-11e6-8fbf-a45e60eb67c5,,"{'national-film-registry','transylvania','dracula'}","Dracula",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb2628a8-6333-11e6-8c4d-a45e60eb67c5,,"{'mummy','reincarnation','buried-alive'}","The Mummy",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb2d60fa-6333-11e6-93e7-a45e60eb67c5,,"{'new-york-society'}","Dinner at Eight",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb1ebea6-6333-11e6-bd01-a45e60eb67c5,,"{'switzerland','spy','hotel'}","Secret Agent",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb2a9082-6333-11e6-8509-a45e60eb67c5,,"{'swiss','gypsy','orphan'}","Heidi",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb22591c-6333-11e6-a391-a45e60eb67c5,,"{'richard-the-lionheart','sword','repayment'}","The Adventures of Robin Hood",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb1dcb40-6333-11e6-97eb-a45e60eb67c5,,"{'arizona','fugitive','doctor'}","Stagecoach",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb29fe9c-6333-11e6-be6d-a45e60eb67c5,,"{'orphanage','child'}","The Little Princess",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb1d5c97-6333-11e6-9d97-a45e60eb67c5,,"{'secret-identity','witch','adolescence'}","The Wizard of Oz",Movie
be5bdb90-5839-11e6-a324-8531257b399d,cb2e6a4a-6333-11e6-8976-a45e60eb67c5,,"{'giant','musical'}","Gulliver's Travels",Movie
